skill_name,category,taxonomy,parent_id
Remote Technical Support,Technical,IT & Systems,1
Helpdesk Operations,Technical,Engineering & Operations,1
VNOC Engineering,Technical,Engineering & Operations,1
Shift Pattern Management,Business,Management,2
HGV Driving,Technical,Logistics,4
Multi-Drop Delivery,Technical,Delivery Methods,3
Health and Safety Procedures,Domain,Engineering & Operations,1
Forklift Operation,Technical,Engineering & Operations,1
Pallet Network Management,Domain,HR & People,2
Freight Handling,Technical,Automotive,4
Record Keeping,Business,Engineering & Operations,1
FLT Operation,Technical,Engineering & Operations,1
Automotive Industry Knowledge,Domain,Automotive,4
Shift Work Management,Business,HR & People,2
Voice Picking,Technical,Logistics,4
Headset System Operation,Technical,Engineering & Operations,1
Quality Control,Technical,Engineering & Operations,1
Manufacturing Processes,Domain,Engineering & Operations,1
Recruitment Solutions,Business,HR & People,2
Further Education Sector Knowledge,Domain,Education,4
Adaptability,Soft Skill,Leadership Behaviour,5
Automotive Repair,Domain,Automotive,4
Funding Management,Business,Commercial,2
Relationship Building,Soft Skill,Stakeholder & Customer,2
Neurodiversity support,Domain,HR & People,2
Inventory Management,Technical,Logistics,4
Scanning and Sorting,Technical,Engineering & Operations,1
Compliance Management,Business,Management,2
Care Giving,Domain,Healthcare,4
Care Support,Domain,Healthcare,4
Project Management,Business,Management,2
IT Service Management,Technical,IT & Systems,1
Pallet Network Operation,Domain,Engineering & Operations,1
Counterbalance Forklift Operation,Technical,Engineering & Operations,1
Production Monitoring,Technical,Engineering & Operations,1
HGV Class 1 Driving,Technical,Logistics,4
CAT CE Certification,Technical,Tools & Software,1
Shift Management,Business,Management,2
Offshore Operations,Domain,Engineering & Operations,1
Marine Operations Management,Business,HR & People,2
Renewable Energy,Domain,Energy,4
Vessel Operations,Technical,Engineering & Operations,1
Crew Management,Business,HR & People,2
Crew Transfer Vessel Operations,Technical,Engineering & Operations,1
Renewable Energy Sector Knowledge,Domain,Energy,4
Vessel Management,Technical,Energy,4
Commercial Awareness,Business,Commercial,2
Financial Planning,Business,Commercial,2
Forecasting,Technical,Data & Analytics,1
Budgeting,Business,Commercial,2
Cost Allocation,Business,Commercial,2
Network Management,Technical,Engineering & Operations,1
NetDocuments Administration,Technical,Tools & Software,1
Document Management,Technical,Engineering & Operations,1
File Transfer Management,Technical,IT & Systems,1
Content Governance,Business,Tools & Software,1
Information Security,Technical,IT & Systems,1
Housing Management,Domain,HR & People,2
Social Support Services,Domain,Healthcare,4
Creative Direction,Technical,Creative & Design,4
In Vivo Screening Assays,Technical,Life Sciences,4
Plant Science,Domain,Life Sciences,4
Biology,Domain,Life Sciences,4
Compound Profiling,Technical,Life Sciences,4
Data Analysis,Technical,Data & Analytics,1
Tramping,Domain,Logistics,4
Day driving,Domain,Logistics,4
Vehicle operation,Technical,Logistics,4
